Product Codes,Price,Client,Client Code,Orders,Total,,Left,Right,MID,Concatenate,TRIM
51993Masc,$9.98,Candy's Beauty Supply,PINNC980,191,"$1,906.18",,51993,Masc,NC,51993Masc,Candy's Beauty Supply
49631Foun,$14.49,Rockland's,ARLVA283,152,"$2,202.48",,49631,Foun,VA,49631Foun,Rockland's
42292Glos,$6.74,Rudiger Pharmacy,CHEMD763,758,"$5,108.92",,42292,Glos,MD,42292Glos,Rudiger Pharmacy
86661Shad,$5.71,Elizabethtown Supply,COLSC761,308,"$1,758.68",,86661,Shad,SC,86661Shad,Elizabethtown Supply
49541Eyel,$7.94,Rockland's,ARLVA425,50,$397.00,,49541,Eyel,VA,49541Eyel,Rockland's
58337Foun,$13.57,Candy's Beauty Supply,PINNC939,673,"$9,132.61",,58337,Foun,NC,58337Foun,Candy's Beauty Supply
40014Masc,$8.46,Elizabethtown Supply,COLSC649,94,$795.24,,40014,Masc,SC,40014Masc,Elizabethtown Supply
86139Lips,$5.55,Candy's Beauty Supply,PINNC496,299,"$1,659.45",,86139,Lips,NC,86139Lips,Candy's Beauty Supply
69601Exfo,$11.05,Rockland's,ARLVA851,850,"$9,392.50",,69601,Exfo,VA,69601Exfo,Rockland's
25331Glos,$7.58,Rockland's,ARLVA924,169,"$1,281.02",,25331,Glos,VA,25331Glos,Rockland's
85021Foun,$11.75,Rudiger Pharmacy,CHEMD339,"""707""",#VALUE!,,85021,Foun,MD,85021Foun,Rudiger Pharmacy
69030Masc,$10.95,Elizabethtown Supply,COLSC970,461,"$5,047.95",,69030,Masc,SC,69030Masc,Elizabethtown Supply
13230Masc,$11.73,Rockland's,ARLVA519,78,$914.94,,13230,Masc,VA,13230Masc,Rockland's
91559Eyel,$6.66,Candy's Beauty Supply,PINNC674,444,"$2,957.04",,91559,Eyel,NC,91559Eyel,Candy's Beauty Supply
62289Masc,$12.06,Elizabethtown Supply,COLSC887,797,"$9,611.82",,62289,Masc,SC,62289Masc,Elizabethtown Supply
64762Foun,$12.95,Rudiger Pharmacy,CHEMD913,355,"$4,597.25",,64762,Foun,MD,64762Foun,Rudiger Pharmacy
52341Foun,$13.09,Elizabethtown Supply,COLSC741,232,"$3,036.88",,52341,Foun,SC,52341Foun,Elizabethtown Supply
68713Exfo,$15.77,Rockland's,ARLVA727,514,"$8,105.78",,68713,Exfo,VA,68713Exfo,Rockland's
35073Foun,$11.82,Elizabethtown Supply,COLSC813,189,"$2,233.98",,35073,Foun,SC,35073Foun,Elizabethtown Supply
17691Masc,$11.22,Elizabethtown Supply,COLSC533,621,"$6,967.62",,17691,Masc,SC,17691Masc,Elizabethtown Supply
03485Eyel,$7.00,Rudiger Pharmacy,CHEMD887,461,"$3,227.00",,03485,Eyel,MD,03485Eyel,Rudiger Pharmacy
26156Foun,$12.01,Candy's Beauty Supply,PINNC615,146,"$1,753.46",,26156,Foun,NC,26156Foun,Candy's Beauty Supply
75112Foun,$13.24,Elizabethtown Supply,COLSC133,261,"$3,455.64",,75112,Foun,SC,75112Foun,Elizabethtown Supply
96799Foun,$10.07,Rudiger Pharmacy,CHEMD365,602,"$6,062.14",,96799,Foun,MD,96799Foun,Rudiger Pharmacy
20559Shad,$4.33,Elizabethtown Supply,COLSC201,225,$974.25,,20559,Shad,SC,20559Shad,Elizabethtown Supply
32729Masc,$13.13,Elizabethtown Supply,COLSC481,972,"$12,762.36",,32729,Masc,SC,32729Masc,Elizabethtown Supply
63094Exfo,$16.94,Candy's Beauty Supply,PINNC547,362,"$6,132.28",,63094,Exfo,NC,63094Exfo,Candy's Beauty Supply
61207Foun,$9.83,Rudiger Pharmacy,CHEMD323,588,"$5,780.04",,61207,Foun,MD,61207Foun,Rudiger Pharmacy
17269Masc,$14.95,Rockland's,ARLVA876,381,"$5,695.95",,17269,Masc,VA,17269Masc,Rockland's
15143Exfo,$20.04,Rudiger Pharmacy,CHEMD584,782,"$15,671.28",,15143,Exfo,MD,15143Exfo,Rudiger Pharmacy
